cowcode,country,bureau,year,quarter,yearquarter,time,atr100,atr50,delibck,insurg_fatalities,insurg_events,intercomm_events,intercomm_fatalities,interstate_fatalities,protests,progovmilitias,regimechange,rallies,elections,blackouts,pts,vdem,anocracy
700,Afghanistan,SCA,2017,Q4,2017 Q4,1,1,1,302,"6,623","2,787",2,6,527,48,1,0,0,0,0,5,1,1
339,Albania,EUR,2017,Q4,2017 Q4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,1
615,Algeria,NEA,2017,Q4,2017 Q4,1,0,0,5,1,1,0,0,0,140,1,0,0,1,0,2,1,1
540,Angola,AF,2017,Q4,2017 Q4,1,0,0,2,0,0,0,0,0,6,0,0,0,1,0,3,1,1
371,Armenia,EUR,2017,Q4,2017 Q4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,1
373,Azerbaijan,EUR,2017,Q4,2017 Q4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1
692,Bahrain,NEA,2017,Q4,2017 Q4,1,0,0,0,0,0,0,0,0,38,0,0,0,0,0,3,0,0
771,Bangladesh,SCA,2017,Q4,2017 Q4,1,0,0,9,4,2,3,2,3,102,0,0,1,0,0,4,1,1
370,Belarus,EUR,2017,Q4,2017 Q4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1
434,Benin,AF,2017,Q4,2017 Q4,1,0,0,1,0,0,1,1,0,11,0,0,0,0,0,2,2,1
346,Bosnia and Herzegovina,EUR,2017,Q4,2017 Q4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,1
571,Botswana,AF,2017,Q4,2017 Q4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,1
355,Bulgaria,EUR,2017,Q4,2017 Q4,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,2,1
439,Burkina Faso,AF,2017,Q4,2017 Q4,1,0,0,13,9,13,0,0,0,11,1,0,0,0,0,3,2,1
516,Burundi,AF,2017,Q4,2017 Q4,1,0,0,32,0,2,2,6,0,29,1,0,0,0,0,4,1,1
811,Cambodia,EAP,2017,Q4,2017 Q4,1,0,0,0,0,0,0,0,0,4,1,0,0,0,0,2,1,1
471,Cameroon,AF,2017,Q4,2017 Q4,1,0,1,121,140,69,6,3,0,24,1,0,0,0,1,3,1,1
482,Central African Republic,AF,2017,Q4,2017 Q4,1,0,0,95,4,10,1,3,6,4,1,0,0,0,0,4,1,1
483,Chad,AF,2017,Q4,2017 Q4,1,0,0,1,0,0,2,25,0,1,0,0,0,0,0,3,1,1
437,Cote d'Ivoire,AF,2017,Q4,2017 Q4,1,0,0,2,0,0,2,12,0,3,1,0,0,0,0,3,2,1
344,Croatia,EUR,2017,Q4,2017 Q4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1
352,Cyprus,EUR,2017,Q4,2017 Q4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0
490,Democratic Republic of Congo,AF,2017,Q4,2017 Q4,1,0,1,127,154,19,12,51,65,42,1,0,0,0,1,5,1,1
522,Djibouti,AF,2017,Q4,2017 Q4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,1
651,Egypt,NEA,2017,Q4,2017 Q4,1,1,1,332,536,74,2,14,4,28,1,0,0,0,1,4,1,1
411,Equatorial Guinea,AF,2017,Q4,2017 Q4,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,3,1,1
531,Eritrea,AF,2017,Q4,2017 Q4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0
572,eSwatini,AF,2017,Q4,2017 Q4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
530,Ethiopia,AF,2017,Q4,2017 Q4,1,1,1,182,27,3,19,93,0,96,1,0,0,0,1,4,1,1
481,Gabon,AF,2017,Q4,2017 Q4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1
420,Gambia,AF,2017,Q4,2017 Q4,1,0,0,0,0,0,0,0,0,3,0,0,0,1,0,2,1,1
372,Georgia,EUR,2017,Q4,2017 Q4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,1
452,Ghana,AF,2017,Q4,2017 Q4,1,0,0,7,0,0,3,18,1,17,0,0,0,0,0,3,3,0
350,Greece,EUR,2017,Q4,2017 Q4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,3,0
438,Guinea,AF,2017,Q4,2017 Q4,1,0,0,2,0,0,0,0,0,10,0,0,0,0,0,3,1,1
404,Guinea-Bissau,AF,2017,Q4,2017 Q4,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,2,1
750,India,SCA,2017,Q4,2017 Q4,1,0,0,81,158,113,18,12,20,"2,229",1,0,1,0,1,4,2,1
850,Indonesia,EAP,2017,Q4,2017 Q4,1,0,0,4,2,8,0,0,0,70,1,0,0,0,0,3,2,1
630,Iran,NEA,2017,Q4,2017 Q4,1,0,0,2,0,0,0,0,1,179,1,0,1,1,1,4,1,1
645,Iraq,NEA,2017,Q4,2017 Q4,1,1,1,213,"2,384",555,47,126,412,19,1,0,0,0,0,4,1,1
666,Israel,NEA,2017,Q4,2017 Q4,1,0,0,4,0,0,2,0,26,119,1,0,0,0,0,3,3,0
663,Jordan,NEA,2017,Q4,2017 Q4,1,0,0,0,0,0,0,0,0,28,0,0,0,0,0,3,0,0
705,Kazakhstan,SCA,2017,Q4,2017 Q4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,1
501,Kenya,AF,2017,Q4,2017 Q4,1,0,0,58,44,17,9,18,0,70,0,0,0,1,0,4,1,1
690,Kuwait,NEA,2017,Q4,2017 Q4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0
703,Kyrgyzstan,SCA,2017,Q4,2017 Q4,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,1,1
812,Laos,EAP,2017,Q4,2017 Q4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
660,Lebanon,NEA,2017,Q4,2017 Q4,1,0,0,1,0,3,2,2,0,22,1,0,0,0,0,3,2,1
570,Lesotho,AF,2017,Q4,2017 Q4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1
450,Liberia,AF,2017,Q4,2017 Q4,1,0,0,1,0,0,0,0,0,6,0,0,0,1,0,2,2,1
620,Libya,NEA,2017,Q4,2017 Q4,1,0,0,84,31,10,37,114,29,57,1,0,0,0,0,5,0,0
580,Madagascar,AF,2017,Q4,2017 Q4,1,0,0,21,0,0,10,17,0,3,0,0,0,0,0,3,1,1
553,Malawi,AF,2017,Q4,2017 Q4,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,3,2,1
820,Malaysia,EAP,2017,Q4,2017 Q4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1
432,Mali,AF,2017,Q4,2017 Q4,1,0,0,41,60,30,2,4,35,6,1,0,0,0,0,4,2,1
435,Mauritania,AF,2017,Q4,2017 Q4,1,0,0,0,0,0,0,0,0,13,1,0,0,0,0,3,1,1
359,Moldova,EUR,2017,Q4,2017 Q4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1
341,Montenegro,EUR,2017,Q4,2017 Q4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1
600,Morocco,NEA,2017,Q4,2017 Q4,1,0,0,0,0,0,0,0,0,41,0,0,0,0,1,2,0,0
541,Mozambique,AF,2017,Q4,2017 Q4,1,0,0,7,0,0,0,0,0,2,0,0,0,0,0,3,1,1
775,Myanmar,EAP,2017,Q4,2017 Q4,1,0,0,11,44,171,1,2,0,28,1,0,1,0,0,5,1,1
565,Namibia,AF,2017,Q4,2017 Q4,1,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,2,1
790,Nepal,SCA,2017,Q4,2017 Q4,1,0,0,0,0,0,0,0,0,22,0,0,0,1,0,3,2,1
436,Niger,AF,2017,Q4,2017 Q4,1,0,0,1,22,3,1,3,0,3,1,0,0,0,0,3,2,1
475,Nigeria,AF,2017,Q4,2017 Q4,1,1,1,582,"1,090",125,59,266,1,125,0,0,0,0,0,5,2,1
343,North Macedonia,EUR,2017,Q4,2017 Q4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1
