data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
7004783,170,COL2135,2135,27-Mar-20,2020,1,Protests,Peaceful protest,Protesters (Colombia),Health Workers (Colombia),6,,,0,60,South America,Colombia,Bolivar,Cartagena,,Cartagena,10.3917,-75.4824,1,El Universal (Colombia),National,"On March 27, 2020, inside the Hospital Rafael Calvo, Cartagena, Bolivar department, a group of health workers protested to demand the payment of their salaries. Protesters informed that they had four months without receiving a salary. The protest was recorded and released to the media. [size=no report]",0,1585604314,COL
7004732,170,COL2134,2134,25-Mar-20,2020,1,Violence against civilians,Attack,Unidentified Armed Group (Colombia),,3,Civilians (Colombia),LGBT (Colombia); Unidentified Communal Group (Colombia),7,37,South America,Colombia,Antioquia,Medellin,,Medellin,6.2496,-75.5774,1,El Colombiano,Subnational,"On March 25, 2020, in Medellin, Antioquia department, a social leader and defender of LBGT rights suffered a targeted attack by unidentified armed individuals. The victim survived the attack. No further information.",0,1585604313,COL
7005001,170,COL2132,2132,25-Mar-20,2020,1,Protests,Protest with intervention,Protesters (Colombia),Refugees/IDPs (Venezuela),6,Police Forces of Colombia (2018-) ESMAD: Mobile Anti-Disturbance Squadron,,1,16,South America,Colombia,Santander,Bucaramanga,,Bucaramanga,7.1163,-73.1326,1,Vanguardia Liberal,Subnational,"On March 25, 2020, at the Plaza Civica Luis Carlos Galan, Bucaramanga, Santander department, 100 Venezuelan immigrants protested after they were evicted from a hostel. Protesters asked local authorities for help since they cannot work after the national government announced a mandatory preventive quarantine due to the spread of the coronavirus. Esmad officers dispersed the protest to avoid a big crowd. [size=100]",0,1585604314,COL
7004779,170,COL2131,2131,25-Mar-20,2020,2,Protests,Peaceful protest,Protesters (Colombia),,6,,,0,60,South America,Colombia,"Bogota, D.C.","Bogota, D.C.",,Bogota-La Candelaria,4.5931,-74.0712,1,El Tiempo (Colombia),National,"As reported on March 25, 2020, in front of the Mayor's office in La Candelaria, Bogota, a group of people gathered to demand food after the national government implemented a quarantine due to the spread of the coronavirus. People gathered after receiving a false message that the Mayor's office was giving food. [size=no report]",0,1585604314,COL
7004923,170,COL2133,2133,25-Mar-20,2020,1,Strategic developments,Other,Civilians (Colombia),,7,,,0,70,South America,Colombia,Norte De Santander,Convencion,,Convencion,8.4704,-73.3372,1,La Opinion (Colombia),National,"On March 25, 2020, in Convencion, Norte de Santander department, residents blocked a road to prohibit the entrance of people that might be infected with the coronavirus. They only allowed the entrance of health workers and people with food. 470 cases of coronavirus have been confirmed in the Norte de Santander department.",0,1585604314,COL
7004686,170,COL2129,2129,24-Mar-20,2020,1,Violence against civilians,Attack,Unidentified Armed Group (Colombia),,3,Civilians (Colombia),Unidentified Communal Group (Colombia); Women (Colombia),7,37,South America,Colombia,Bolivar,San Pablo,,San Pablo,7.4767,-73.9242,1,Amnesty International,Other,"On March 24, 2020, in San Pablo, Bolivar department, a female social leader was killed by unidentified armed individuals after a mandatory preventive quarantine was implemented by President Ivan Duque. Human Rights activists warned about the killings of social leaders during the lockdowns and the quarantine imposed due to the spread of the coronavirus. 1 fatality.",1,1585604313,COL
7004750,170,COL2123,2123,24-Mar-20,2020,1,Protests,Peaceful protest,Protesters (Colombia),,6,,,0,60,South America,Colombia,Norte De Santander,Cucuta,,Cucuta,7.8939,-72.5078,1,El Espectador,National,"On March 24, 2020, outside a prison in Cucuta, Norte de Santander department, relatives of prisoners protested to demand from police officers a better treatment to prisoners. The protest took place while prisoners were demonstrating inside, to demand better living conditions during the coronavirus pandemic. [size=no report]",0,1585604313,COL
7004751,170,COL2127,2127,24-Mar-20,2020,2,Strategic developments,Other,Civilians (Colombia),Afro-Colombian Ethnic Group (Colombia),7,,,0,70,South America,Colombia,Narino,Roberto Payan,,San Jose,1.6977,-78.2457,2,El Espectador,National,"As reported on March 24, 2020, in Roberto Payan municipality, Narino department, 944 Afro-Colombian people were displaced due to the constant armed clashes between armed groups. Members of the National Liberation Army (ELN) are present in the area to control the traffic of drugs.",0,1585604313,COL
7004752,170,COL2118,2118,24-Mar-20,2020,1,Protests,Peaceful protest,Protesters (Colombia),Labour Group (Colombia); Women (Colombia),6,,,0,60,South America,Colombia,Atlantico,Barranquilla,,Barranquilla,10.9799,-74.8013,1,El Espectador,National,"On March 24, 2020, in front of the Mayor's office in Barranquilla, Atlantico department, a group of mothers, pensioners, and informal merchants protested to demand guarantees to overcome the mandatory preventive quarantine implemented by President Ivan Duque. The quarantine was implemented due to the global spread of the coronavirus. [size=no report]",0,1585604313,COL
7004753,170,COL2122,2122,24-Mar-20,2020,1,Riots,Violent demonstration,Rioters (Colombia),Prisoners (Colombia),5,Police Forces of Colombia (2018-),,1,15,South America,Colombia,Norte De Santander,Cucuta,,Cucuta,7.8939,-72.5078,1,El Espectador,National,"On March 24, 2020, inside a prison in Cucuta, Norte de Santander department, prisoners burned mattresses and towels to demand better health conditions inside the prison, during the coronavirus pandemic. Prisoners rejected the overcrowded situation of the prisons. Police officers intervened to stop the demonstration. Shots were heard from outside the prison. No injuries were reported. [size=no report]",0,1585604313,COL
7004773,170,COL2120,2120,24-Mar-20,2020,1,Strategic developments,Arrests,Military Forces of Colombia (2018-),Police Forces of Colombia (2018-),1,Los Caparros Gang,,3,13,South America,Colombia,Antioquia,Caceres,,Caceres,7.5783,-75.3524,1,El Tiempo (Colombia),National,"On March 24, 2020, in Caceres, Antioquia department, soldiers and police officers arrested a leader of Los Caparros gang. The detainee was the leader of 130 members of the gang.",0,1585604314,COL
7004775,170,COL2128,2128,24-Mar-20,2020,1,Protests,Peaceful protest,Protesters (Colombia),Farmers (Colombia),6,,,0,60,South America,Colombia,Guaviare,San Jose Del Guaviare,,San Jose Del Guaviare,2.5664,-72.639,2,El Tiempo (Colombia),National,"On March 24, 2020, near San Jose del Guaviare, several farmers protested after the communities have been in their houses as a mandatory preventive quarantine due to the spread of the coronavirus. Farmers informed that security forces are not allowing trucks with food to enter the area. [size=no report]",0,1585604314,COL
7004776,170,COL2124,2124,24-Mar-20,2020,1,Protests,Peaceful protest,Protesters (Colombia),Labour Group (Colombia),6,,,0,60,South America,Colombia,Meta,La Macarena,,La Macarena,2.1782,-73.7871,1,El Tiempo (Colombia),National,"On March 24, 2020, in front of the airport in La Macarena, Meta department, merchants and residents protested the arrival of planes and the lack of health measures. Protesters worried that people coming in those planes might be infected with the coronavirus. [size=no report]",0,1585604314,COL
7004777,170,COL2125,2125,24-Mar-20,2020,1,Protests,Protest with intervention,Protesters (Colombia),,6,Police Forces of Colombia (2018-) ESMAD: Mobile Anti-Disturbance Squadron,,1,16,South America,Colombia,Risaralda,Pereira,,Pereira,4.8057,-75.7171,1,El Tiempo (Colombia),National,"On March 24, 2020, in front of the Mayor's office in Pereira, Risaralda department, a group of people gathered to demand food after the national government implemented a mandatory preventive quarantine due to the spread of the coronavirus. People gathered after receiving a false message that the Mayor's office was giving food. Mobile Anti-Disturbance Squadron (ESMAD) officers fired tear gas to disperse the group of people. [size=no report]",0,1585604314,COL
